timestamp,cash,market_value,realized_pnl,unrealized_pnl,equity,positions
2024-01-03,5042.97,0.0,42.97,0.0,5042.97,0
2024-01-04,5042.97,0.0,42.97,0.0,5042.97,0
2024-01-05,5042.97,0.0,42.97,0.0,5042.97,0
2024-01-08,5042.97,0.0,42.97,0.0,5042.97,0
2024-01-09,5042.97,0.0,42.97,0.0,5042.97,0
2024-01-10,5297.85,-255.14,42.97,-0.26,5042.71,1
2024-01-11,5019.62,0.0,19.62,0.0,5019.62,0
2024-01-12,4802.8,216.61,19.62,-0.22,5019.41,1
2024-01-16,4802.8,272.02,19.62,55.19,5074.82,1
2024-01-17,4802.8,222.34,19.62,5.51,5025.14,1
2024-01-18,4802.8,233.92,19.62,17.09,5036.72,1
2024-01-19,5095.81,0.0,95.81,0.0,5095.81,0
2024-01-22,5095.81,0.0,95.81,0.0,5095.81,0
2024-01-23,5095.81,0.0,95.81,0.0,5095.81,0
2024-01-24,5095.81,0.0,95.81,0.0,5095.81,0
2024-01-25,5095.81,0.0,95.81,0.0,5095.81,0
2024-01-26,5095.81,0.0,95.81,0.0,5095.81,0
2024-01-29,5095.81,0.0,95.81,0.0,5095.81,0
2024-01-30,5095.81,0.0,95.81,0.0,5095.81,0
2024-01-31,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-01,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-02,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-05,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-06,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-07,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-08,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-09,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-12,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-13,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-14,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-15,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-16,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-20,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-21,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-22,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-23,5095.81,0.0,95.81,0.0,5095.81,0
2024-02-26,5257.59,-161.94,95.81,-0.16,5095.65,1
2024-02-27,5257.59,-148.36,95.81,13.42,5109.23,1
2024-02-28,5257.59,-131.83,95.81,29.94,5125.76,1
2024-02-29,4938.43,0.0,-61.57,0.0,4938.43,0
2024-03-01,4938.43,0.0,-61.57,0.0,4938.43,0
2024-03-04,4938.43,0.0,-61.57,0.0,4938.43,0
2024-03-05,4938.43,0.0,-61.57,0.0,4938.43,0
2024-03-06,4938.43,0.0,-61.57,0.0,4938.43,0
2024-03-07,4938.43,0.0,-61.57,0.0,4938.43,0
2024-03-08,4938.43,0.0,-61.57,0.0,4938.43,0
