Date,Close BP,High BP,Low BP,Open BP,Volume BP,Close,Open,High,Low,Volume,ATR
2016-11-21,20.93421173095703,20.964638898648413,20.836843401478145,20.879441900534903,5881700,588.17,588.17,588.17,588.17,0.0,117.42499999999998
2016-11-22,21.0194149017334,21.08635608317917,20.849018534022864,20.982900896914405,6735900,673.59,673.59,673.59,673.59,0.0,93.80642857142855
2016-11-23,20.93421173095703,21.049835896761927,20.763815413285915,20.769902239690644,4255400,425.54,425.54,425.54,425.54,0.0,90.79714285714284
2016-11-25,20.85511016845703,20.9707343948633,20.800340309328735,20.93422270307464,1899900,189.99,189.99,189.99,189.99,0.0,99.38071428571426
2016-11-28,20.52039337158203,20.769899832039084,20.52039337158203,20.745557172130145,5431000,543.1,543.1,543.1,543.1,0.0,123.41571428571426
2016-11-29,20.3986873626709,20.46562853300566,20.22829334468742,20.30740352649724,5901600,590.16,590.16,590.16,590.16,0.0,119.6435714285714
2016-11-30,21.30542755126953,21.463652542478012,21.019409380375087,21.019409380375087,11784800,1178.48,1178.48,1178.48,1178.48,0.0,156.50285714285715
2016-12-01,21.536684036254883,21.87747445288216,21.524512701220537,21.719249418880473,7802400,780.24,780.24,780.24,780.24,0.0,182.25142857142853
2016-12-02,21.59145164489746,21.792275169978485,21.475827456224618,21.573195804960843,5205900,520.59,520.59,520.59,520.59,0.0,190.88571428571427
2016-12-05,21.59145164489746,21.774017008597315,21.59145164489746,21.64013697998785,4710200,471.02,471.02,471.02,471.02,0.0,186.22285714285712
2016-12-06,21.64622688293457,21.72533941145831,21.50625999182034,21.713168074651186,5387000,538.7,538.7,538.7,538.7,0.0,189.41642857142855
2016-12-07,21.840957641601562,21.89572748149676,21.70707529487008,21.853128975072103,6006700,600.67,600.67,600.67,600.67,0.0,188.88857142857142
2016-12-08,22.023523330688477,22.047865997994222,21.822702129027395,21.938326316562893,5107500,510.75,510.75,510.75,510.75,0.0,192.47785714285718
2016-12-09,21.913982391357422,22.0356933994552,21.90789788560251,21.999181722036944,4633100,463.31,463.31,463.31,463.31,0.0,186.57785714285714
2016-12-12,22.21826171875,22.40082941600589,22.169578701874542,22.279118391650197,8416600,841.66,841.66,841.66,841.66,0.0,207.88071428571428
2016-12-13,22.388652801513672,22.479934307170012,22.151317636785368,22.455593965194815,7504700,750.47,750.47,750.47,750.47,0.0,208.29285714285714
