Date,Close CVX,High CVX,Low CVX,Open CVX,Volume CVX,Close,Open,High,Low,Volume,ATR
2022-08-29,145.6300506591797,147.57614588799663,144.7543017322148,144.97544922407516,8462600,846.26,846.26,846.26,846.26,0.0,100.58285714285714
2022-08-30,142.0828094482422,143.79891582099074,140.4374718792715,143.58662290742626,8814300,881.43,881.43,881.43,881.43,0.0,100.92642857142856
2022-08-31,139.8183135986328,142.78169592922563,138.1287432131572,139.42025074022723,13582700,1358.27,1358.27,1358.27,1358.27,0.0,122.53785714285713
2022-09-01,137.58909606933594,138.7744566985499,135.5456957239045,138.4206126682735,8244400,824.44,824.44,824.44,824.44,0.0,156.0692857142857
2022-09-02,139.63250732421875,140.76478120457548,138.63291651665017,139.9774968112373,7526600,752.66,752.66,752.66,752.66,0.0,148.83571428571426
2022-09-06,138.9867401123047,141.52552192647136,137.7394787969802,141.4370575505108,8550000,855.0,855.0,855.0,855.0,0.0,143.59714285714287
2022-09-07,137.208740234375,137.83680500379234,135.00610651927389,136.27991813775304,9442100,944.21,944.21,944.21,944.21,0.0,146.56
2022-09-08,137.9517822265625,138.33216287488804,135.67839336685117,137.6333293456873,9232500,923.25,923.25,923.25,923.25,0.0,146.17428571428573
2022-09-09,141.50784301757812,142.10935765209263,139.34944156851734,140.12788497579047,8261100,826.11,826.11,826.11,826.11,0.0,150.565
2022-09-12,143.74583435058594,145.54155046295946,142.64009716327374,144.02005501339642,8920800,892.08,892.08,892.08,892.08,0.0,138.75714285714284
2022-09-13,141.012451171875,143.88736777547788,140.41977767640287,142.781630620246,10308300,1030.83,1030.83,1030.83,1030.83,0.0,140.04071428571427
2022-09-14,144.42698669433594,144.69236634540877,141.84398598595118,142.36589075114023,11160800,1116.08,1116.08,1116.08,1116.08,0.0,139.79642857142855
2022-09-15,142.0828094482422,143.03816805258992,141.16284199466799,142.13588267663332,9665000,966.5,966.5,966.5,966.5,0.0,140.35642857142855
2022-09-16,138.39407348632812,142.54280186720348,137.651021283184,141.9943605026594,43741600,4374.16,4374.16,4374.16,4374.16,0.0,381.7257142857143
2022-09-19,138.79214477539062,138.83637696830812,135.16533441825004,135.28032192251126,6813800,681.38,681.38,681.38,681.38,0.0,640.5185714285714
2022-09-20,138.2436981201172,138.74792080421662,136.52759168322885,138.03139170084853,8955200,895.52,895.52,895.52,895.52,0.0,653.3021428571428
2022-09-21,137.12026977539062,140.45517733756992,137.06719654326508,140.03941902222638,6877000,687.7,687.7,687.7,687.7,0.0,634.0864285714285
2022-09-22,137.01409912109375,140.01285768668245,136.8814160642053,139.41134316509783,6981100,698.11,698.11,698.11,698.11,0.0,596.6992857142857
2022-09-23,128.06207275390625,132.8476934491982,127.0801775081743,132.46732630335003,13919700,1391.97,1391.97,1391.97,1391.97,0.0,641.1335714285715
2022-09-26,124.69178771972656,128.30975686592515,124.62985995302299,127.00056770378922,9444000,944.4,944.4,944.4,944.4,0.0,665.7928571428572
2022-09-27,124.74485778808594,127.17747974613413,124.24948965809011,125.8682771194089,10121000,1012.1,1012.1,1012.1,1012.1,0.0,664.2564285714286
2022-09-28,128.9554901123047,129.53932257516595,125.08098276502113,125.68251080190588,8279800,827.98,827.98,827.98,827.98,0.0,675.9107142857143
2022-09-29,128.06207275390625,128.6282097020365,125.85059819124598,127.83207076081706,8197600,819.76,819.76,819.76,819.76,0.0,669.5592857142856
2022-09-30,127.08904266357422,128.38939103299342,126.04523295085521,127.40749560093754,9402700,940.27,940.27,940.27,940.27,0.0,673.4549999999999
2022-10-03,134.2188262939453,134.75842669113374,131.1846893131016,131.7773629464444,9597400,959.74,959.74,959.74,959.74,0.0,664.9350000000001
2022-10-04,139.43789672851562,139.65904418206068,135.8995374717947,136.60719852492338,9520200,952.02,952.02,952.02,952.02,0.0,659.3971428571429
2022-10-05,140.23402404785156,141.29552913958767,136.9345077759672,137.85447525606662,10633100,1063.31,1063.31,1063.31,1063.31,0.0,656.6621428571428
2022-10-06,142.79049682617188,143.25048734320012,139.057526452324,139.18136849562734,9498300,949.83,949.83,949.83,949.83,0.0,421.36357142857145
2022-10-07,141.5609130859375,145.01080811328993,140.70285984876548,143.75469214184957,9972500,997.25,997.25,997.25,997.25,0.0,160.9807142857143
2022-10-10,139.00442504882812,142.83470007316276,138.38521495779926,142.4189418339503,5904500,590.45,590.45,590.45,590.45,0.0,174.74214285714285
2022-10-11,139.03097534179688,141.47243829715637,136.32413275051874,136.89026967485293,7533300,753.33,753.33,753.33,753.33,0.0,171.53214285714284
2022-10-12,139.44674682617188,140.48171535626383,137.57142061757142,138.1198620187047,4942000,494.2,494.2,494.2,494.2,0.0,189.29785714285714
2022-10-13,146.20498657226562,146.83305120702997,138.30560692018537,138.30560692018537,10227500,1022.75,1022.75,1022.75,1022.75,0.0,177.48999999999998
2022-10-14,141.65821838378906,146.3642428761699,141.47244857581828,145.1081134080758,7327900,732.79,732.79,732.79,732.79,0.0,166.23214285714286
2022-10-17,142.69317626953125,145.87770489934385,142.5074199731574,144.4446602670437,5890400,589.04,589.04,589.04,589.04,0.0,171.66428571428574
2022-10-18,143.94049072265625,144.46239560075026,140.61443706995018,143.62203777203112,5631200,563.12,563.12,563.12,563.12,0.0,160.3642857142857
2022-10-19,148.611083984375,149.6814435639951,144.71003979032062,144.71003979032062,9766800,976.68,976.68,976.68,976.68,0.0,189.31714285714287
2022-10-20,149.46031188964844,151.99023948341105,148.5580264337242,149.76106920903305,8871500,887.15,887.15,887.15,887.15,0.0,187.10428571428568
2022-10-21,153.2021026611328,153.7770806059019,149.36298634302196,149.62835247275012,7971300,797.13,797.13,797.13,797.13,0.0,192.14357142857142
2022-10-24,153.1490478515625,154.51131030646556,151.80446747558858,152.22022579251623,7007700,700.77,700.77,700.77,700.77,0.0,198.47499999999997
2022-10-25,154.74130249023438,154.80323026126874,152.29983926073976,153.08712372044337,7280600,728.06,728.06,728.06,728.06,0.0,192.47499999999997
2022-10-26,156.65199279785156,157.88157198854037,154.95358212783478,155.0862786866323,6865300,686.53,686.53,686.53,686.53,0.0,187.33571428571426
2022-10-27,157.36854553222656,160.4646103341359,156.99701937573,159.12888437879556,9177400,917.74,917.74,917.74,917.74,0.0,200.4635714285714
