Date,Close GLD,High GLD,Low GLD,Open GLD,Volume GLD,Close,Open,High,Low,Volume,ATR
2023-02-01,181.6699981689453,181.72999572753906,178.6300048828125,179.75,7996000,799.6,799.6,799.6,799.6,0.0,133.94714285714286
2023-02-02,177.89999389648438,181.11000061035156,177.74000549316406,181.0800018310547,8842400,884.24,884.24,884.24,884.24,0.0,114.545
2023-02-03,173.4600067138672,175.42999267578125,173.1199951171875,174.9199981689453,13674400,1367.44,1367.44,1367.44,1367.44,0.0,145.26000000000002
2023-02-06,173.82000732421875,174.4600067138672,173.27999877929688,174.11000061035156,8957000,895.7,895.7,895.7,895.7,0.0,172.8271428571429
2023-02-07,173.97999572753906,175.27000427246094,173.47000122070312,173.72000122070312,6794200,679.42,679.42,679.42,679.42,0.0,179.51785714285714
2023-02-08,174.41000366210938,174.99000549316406,173.8300018310547,174.94000244140625,4075600,407.56,407.56,407.56,407.56,0.0,189.69357142857146
2023-02-09,173.02999877929688,175.52000427246094,172.8699951171875,175.49000549316406,5361300,536.13,536.13,536.13,536.13,0.0,192.27785714285716
2023-02-10,173.36000061035156,173.67999267578125,172.6300048828125,173.6300048828125,2971100,297.11,297.11,297.11,297.11,0.0,205.85571428571433
2023-02-13,172.47999572753906,172.89999389648438,172.07000732421875,172.6999969482422,3970800,397.08,397.08,397.08,397.08,0.0,208.2757142857143
2023-02-14,172.61000061035156,173.50999450683594,171.41000366210938,171.97000122070312,5403100,540.31,540.31,540.31,540.31,0.0,201.93
2023-02-15,170.88999938964844,170.99000549316406,170.16000366210938,170.60000610351562,5423800,542.38,542.38,542.38,542.38,0.0,194.46928571428572
2023-02-16,170.75,171.60000610351562,169.9600067138672,170.33999633789062,4540400,454.04,454.04,454.04,454.04,0.0,199.40357142857144
2023-02-17,171.25999450683594,171.47000122070312,169.52000427246094,169.8699951171875,4809800,480.98,480.98,480.98,480.98,0.0,188.1707142857143
2023-02-21,170.6199951171875,171.5,170.33999633789062,171.1999969482422,4035900,403.59,403.59,403.59,403.59,0.0,181.08285714285716
2023-02-22,169.66000366210938,170.9600067138672,169.55999755859375,170.80999755859375,4105700,410.57,410.57,410.57,410.57,0.0,167.15928571428574
2023-02-23,169.57000732421875,170.1300048828125,169.0800018310547,169.83999633789062,5073500,507.35,507.35,507.35,507.35,0.0,168.0264285714286
2023-02-24,168.35000610351562,168.83999633789062,168.19000244140625,168.4199981689453,6496500,649.65,649.65,649.65,649.65,0.0,143.6764285714286
2023-02-27,169.00999450683594,169.22999572753906,168.5500030517578,168.8800048828125,4509200,450.92,450.92,450.92,450.92,0.0,124.1757142857143
2023-02-28,169.77999877929688,170.25,168.58999633789062,168.77999877929688,6761600,676.16,676.16,676.16,676.16,0.0,124.8157142857143
2023-03-01,170.75999450683594,171.49000549316406,170.47000122070312,170.9499969482422,6590500,659.05,659.05,659.05,659.05,0.0,106.61928571428572
2023-03-02,170.66000366210938,170.97999572753906,170.36000061035156,170.52000427246094,3950700,395.07,395.07,395.07,395.07,0.0,116.29142857142857
2023-03-03,172.49000549316406,172.60000610351562,170.97999572753906,171.4499969482422,6894500,689.45,689.45,689.45,689.45,0.0,120.24571428571429
2023-03-06,171.6199951171875,172.3699951171875,171.5399932861328,172.32000732421875,4264100,426.41,426.41,426.41,426.41,0.0,131.89357142857145
2023-03-07,168.6199951171875,170.47000122070312,168.52000427246094,170.4199981689453,8713300,871.33,871.33,871.33,871.33,0.0,153.44285714285715
2023-03-08,168.5399932861328,169.58999633789062,168.52000427246094,168.61000061035156,5718600,571.86,571.86,571.86,571.86,0.0,174.6857142857143
2023-03-09,170.1999969482422,170.64999389648438,169.7100067138672,169.75,5583000,558.3,558.3,558.3,558.3,0.0,169.34428571428575
2023-03-10,173.8699951171875,173.8800048828125,171.9199981689453,171.92999267578125,13803400,1380.34,1380.34,1380.34,1380.34,0.0,226.1371428571429
2023-03-13,177.86000061035156,178.02000427246094,176.3000030517578,176.66000366210938,20554400,2055.44,2055.44,2055.44,2055.44,0.0,268.8307142857143
2023-03-14,176.8300018310547,177.58999633789062,176.2100067138672,177.35000610351562,10019000,1001.9,1001.9,1001.9,1001.9,0.0,343.58500000000004
2023-03-15,178.2100067138672,180.1300048828125,177.49000549316406,178.86000061035156,14546100,1454.61,1454.61,1454.61,1454.61,0.0,369.00857142857143
2023-03-16,178.57000732421875,179.64999389648438,177.8699951171875,179.50999450683594,10762200,1076.22,1076.22,1076.22,1076.22,0.0,385.8721428571429
2023-03-17,183.77000427246094,184.80999755859375,180.77000427246094,181.02000427246094,24156300,2415.63,2415.63,2415.63,2415.63,0.0,467.3492857142857
2023-03-20,183.83999633789062,184.5399932861328,182.74000549316406,184.19000244140625,11845700,1184.57,1184.57,1184.57,1184.57,0.0,539.1935714285714
2023-03-21,180.3699951171875,182.72999572753906,179.89999389648438,182.64999389648438,10734500,1073.45,1073.45,1073.45,1073.45,0.0,545.9085714285715
2023-03-22,183.44000244140625,183.94000244140625,180.27999877929688,180.39999389648438,11969600,1196.96,1196.96,1196.96,1196.96,0.0,535.875
2023-03-23,185.74000549316406,186.24000549316406,183.60000610351562,183.91000366210938,11347100,1134.71,1134.71,1134.71,1134.71,0.0,519.2942857142858
2023-03-24,183.64999389648438,185.99000549316406,183.6199951171875,185.61000061035156,9245900,924.59,924.59,924.59,924.59,0.0,515.5142857142857
2023-03-27,181.9499969482422,182.14999389648438,180.69000244140625,181.14999389648438,6925000,692.5,692.5,692.5,692.5,0.0,500.31214285714293
2023-03-28,183.44000244140625,183.6199951171875,182.1199951171875,182.30999755859375,6202600,620.26,620.26,620.26,620.26,0.0,484.0814285714286
2023-03-29,182.52999877929688,183.27000427246094,182.24000549316406,182.49000549316406,4996500,499.65,499.65,499.65,499.65,0.0,491.7278571428571
2023-03-30,184.17999267578125,184.44000244140625,182.5500030517578,182.75,6360300,636.03,636.03,636.03,636.03,0.0,442.7521428571428
2023-03-31,183.22000122070312,184.4199981689453,182.8000030517578,184.11000061035156,8003300,800.33,800.33,800.33,800.33,0.0,406.2664285714286
