Date,Close LDOS,High LDOS,Low LDOS,Open LDOS,Volume LDOS,Close,Open,High,Low,Volume,ATR
2019-08-02,75.17850494384766,75.55503668758811,73.50705545649154,74.9397244437466,3358200,3358.2,3358.2,3358.2,3358.2,0.0,288.31428571428575
2019-08-05,72.53357696533203,74.4070639714007,71.9458079554434,74.03971797439948,2005800,2005.8,2005.8,2005.8,2005.8,0.0,370.88571428571424
2019-08-06,73.50704193115234,73.70908639354805,72.07437320750918,73.00193077516309,1938100,1938.1,1938.1,1938.1,1938.1,0.0,374.34999999999997
2019-08-07,73.99378204345703,74.55399369022,72.1478386335221,73.01111697574852,2046600,2046.6,2046.6,2046.6,2046.6,0.0,371.19999999999993
2019-08-08,77.05199432373047,77.18975256580877,74.57236698634668,74.64583898301181,34119300,34119.3,34119.3,34119.3,34119.3,0.0,2648.414285714286
2019-08-09,76.2805404663086,76.86830233454187,75.33461142857924,76.2805404663086,1565500,1565.5,1565.5,1565.5,1565.5,0.0,4957.785714285715
2019-08-12,76.27136993408203,77.51118003939854,75.84890947705279,76.4091211628145,1438600,1438.6,1438.6,1438.6,1438.6,0.0,4963.528571428572
2019-08-13,77.39179992675781,77.60303019246771,75.98668109286179,76.07851759707977,1737000,1737.0,1737.0,1737.0,1737.0,0.0,4980.45
2019-08-14,76.06014251708984,77.18975168117579,75.61013880435488,76.6111684724128,1726000,1726.0,1726.0,1726.0,1726.0,0.0,4967.807142857143
2019-08-15,76.14281463623047,76.63873318495453,75.6836250856755,76.22546539212566,1013500,1013.5,1013.5,1013.5,1013.5,0.0,5017.871428571429
2019-08-16,76.97852325439453,77.27240423792007,76.67545651950638,76.73974276569399,1361300,1361.3,1361.3,1361.3,1361.3,0.0,5027.992857142858
2019-08-19,78.13567352294922,78.63159893820159,75.68360369754126,78.0622015340212,1507800,1507.8,1507.8,1507.8,1507.8,0.0,5016.335714285715
2019-08-20,77.57547760009766,78.57650737720506,77.51119134841807,78.18160411498013,1339200,1339.2,1339.2,1339.2,1339.2,0.0,5010.635714285715
2019-08-21,78.5581283569336,78.5581283569336,77.95199494742808,78.49384211713829,815600,815.6,815.6,815.6,815.6,0.0,5028.757142857144
2019-08-22,78.57649993896484,78.85201642389687,77.70404274780552,78.85201642389687,1094400,1094.4,1094.4,1094.4,1094.4,0.0,4912.085714285714
2019-08-23,76.60197448730469,78.84281386067333,76.28972207051945,78.21831603377662,1340400,1340.4,1340.4,1340.4,1340.4,0.0,4833.057142857143
2019-08-26,77.4193344116211,77.44688465411515,76.42748364179076,76.99687400446537,1498400,1498.4,1498.4,1498.4,1498.4,0.0,4839.507142857144
2019-08-27,78.08975982666016,78.20915357264235,77.27240313394852,77.94282284033432,1310100,1310.1,1310.1,1310.1,1310.1,0.0,4845.2071428571435
2019-08-28,78.72346496582031,78.91632375413009,77.27242416995382,77.6673275003054,1241400,1241.4,1241.4,1241.4,1241.4,0.0,2559.207142857143
2019-08-29,80.08263397216797,80.38570067826183,79.26527734543582,79.26527734543582,1000700,1000.7,1000.7,1000.7,1000.7,0.0,251.12857142857143
2019-08-30,80.22956848144531,81.08366100262856,79.797929346151,80.66120761673965,1119900,1119.9,1119.9,1119.9,1119.9,0.0,250.57857142857145
2019-09-03,79.30200958251953,80.11018742713613,78.97139264729898,79.7244629982626,1553000,1553.0,1553.0,1553.0,1553.0,0.0,260.2
2019-09-04,80.46835327148438,80.68876222241838,79.91732038413805,80.00916386981191,687200,687.2,687.2,687.2,687.2,0.0,321.25714285714287
2019-09-05,81.5704116821289,81.71735566584601,80.84489152754395,81.35000271322804,775500,775.5,775.5,775.5,775.5,0.0,276.6714285714285
2019-09-06,80.46835327148438,81.73571349769763,80.32140929974555,81.7265277477954,962300,962.3,962.3,962.3,962.3,0.0,265.1714285714285
2019-09-09,77.98873138427734,80.84489020947082,77.29076849302484,80.61529549366217,1695800,1695.8,1695.8,1695.8,1695.8,0.0,307.09999999999997
2019-09-10,77.13465118408203,77.72241319067987,76.50097443093249,77.72241319067987,1719100,1719.1,1719.1,1719.1,1719.1,0.0,296.7214285714286
2019-09-11,78.28264617919922,78.28264617919922,76.5285454356533,77.05202133371104,1283300,1283.3,1283.3,1283.3,1283.3,0.0,290.45
2019-09-12,79.30200958251953,79.94487895952585,78.60403971853457,78.87955616677647,1120500,1120.5,1120.5,1120.5,1120.5,0.0,282.1642857142857
2019-09-13,79.1268310546875,80.02118112444224,78.95164705172091,79.5417323903354,1021100,1021.1,1021.1,1021.1,1021.1,0.0,271.6928571428571
2019-09-16,79.56939697265625,79.88287672494135,78.66582485927385,78.85944594763323,844000,844.0,844.0,844.0,844.0,0.0,273.0571428571429
2019-09-17,79.9382095336914,80.22403722165237,79.3389090709266,79.72615131792413,1001000,1001.0,1001.0,1001.0,1001.0,0.0,270.82142857142856
2019-09-18,80.76802825927734,80.8141315465807,79.6616197077372,79.81835962957015,723500,723.5,723.5,723.5,723.5,0.0,285.7357142857143
2019-09-19,80.55596923828125,81.36733503257709,80.3900072537237,80.95243358837018,937300,937.3,937.3,937.3,937.3,0.0,283.8142857142857
2019-09-20,79.59706115722656,81.24745857785385,79.51407666589748,80.89709055682144,3708700,3708.7,3708.7,3708.7,3708.7,0.0,473.2571428571428
2019-09-23,79.00696563720703,79.56016971559033,78.3707770781619,79.27434913253946,1122000,1122.0,1122.0,1122.0,1122.0,0.0,627.0857142857142
2019-09-24,79.3020248413086,80.17793089545964,78.67505821238402,79.57862342107435,1126300,1126.3,1126.3,1126.3,1126.3,0.0,565.55
2019-09-25,80.25170135498047,80.39921920539817,78.79492477234714,79.44955062126812,1047900,1047.9,1047.9,1047.9,1047.9,0.0,564.842857142857
2019-09-26,80.33466339111328,80.62049104188324,79.50486069391083,80.31622630124376,758100,758.1,758.1,758.1,758.1,0.0,572.1999999999999
2019-09-27,78.38923645019531,80.69425996070224,77.75305474466938,80.69425996070224,874500,874.5,874.5,874.5,874.5,0.0,528.1214285714285
2019-09-30,79.1821517944336,79.58783811510898,78.35234909759369,78.38922327731662,848500,848.5,848.5,848.5,848.5,0.0,528.3142857142856
2019-10-01,78.16793823242188,79.62471444515232,77.90977678396268,79.40343420852615,680200,680.2,680.2,680.2,680.2,0.0,509.20714285714274
2019-10-02,76.48989868164062,77.52255173798876,75.706192101571,77.44878929802672,971600,971.6,971.6,971.6,971.6,0.0,518.3928571428571
2019-10-03,76.52676391601562,76.94166524398017,75.715398349039,76.5452010049681,690800,690.8,690.8,690.8,690.8,0.0,531.3499999999999
2019-10-04,77.10762023925781,77.28280422320665,76.29625474533668,76.94165831614083,2912900,2912.9,2912.9,2912.9,2912.9,0.0,677.4214285714286
2019-10-07,77.26437377929688,77.89134031671676,76.96010905502575,77.10762686916294,1039800,1039.8,1039.8,1039.8,1039.8,0.0,800.0
2019-10-08,75.45722198486328,76.65583663841835,75.44800695853515,76.65583663841835,1110700,1110.7,1110.7,1110.7,1110.7,0.0,785.2428571428571
2019-10-09,76.25016784667969,76.3884706513664,75.3466026535558,76.02888757980466,1007900,1007.9,1007.9,1007.9,1007.9,0.0,777.3142857142857
2019-10-10,76.5728759765625,77.15373930924035,76.29627036993146,76.31470746099956,1384600,1384.6,1384.6,1384.6,1384.6,0.0,606.2642857142857
2019-10-11,76.67430114746094,77.70694712049193,76.63741992922796,77.1814020708249,1066200,1066.2,1066.2,1066.2,1066.2,0.0,444.24285714285713
2019-10-14,76.02887725830078,77.10762632653754,75.853693260522,76.96010851343848,710500,710.5,710.5,710.5,710.5,0.0,469.34285714285716
2019-10-15,75.81682586669922,77.04309285775469,75.79838174192912,76.15796479684822,1301400,1301.4,1301.4,1301.4,1301.4,0.0,505.95
2019-10-16,74.99622344970703,75.8721363927901,74.75650612725515,75.38347265207507,1298100,1298.1,1298.1,1298.1,1298.1,0.0,485.4857142857143
2019-10-17,75.33737182617188,75.51255582735274,74.5905466158695,75.27283146274293,1206100,1206.1,1206.1,1206.1,1206.1,0.0,483.7428571428572
2019-10-18,75.25440216064453,75.42036411725944,74.59977639687816,75.1714176651507,1254600,1254.6,1254.6,1254.6,1254.6,0.0,485.35
2019-10-21,74.53522491455078,75.37425671441487,74.31394466262813,75.37425671441487,1238600,1238.6,1238.6,1238.6,1238.6,0.0,474.4714285714286
2019-10-22,73.10610961914062,74.7841660658592,72.91248853310063,74.57210085674573,1008700,1008.7,1008.7,1008.7,1008.7,0.0,470.0785714285715
2019-10-23,73.06001281738281,73.8898225698947,72.8295104991502,72.93093208192235,803300,803.3,803.3,803.3,803.3,0.0,464.6928571428572
2019-10-24,73.79762268066406,73.83450389552166,72.65433315756836,73.22597440192997,716300,716.3,716.3,716.3,716.3,0.0,312.1857142857143
2019-10-25,73.7423095703125,74.0465673041692,73.16143918835171,73.55790348303408,769900,769.9,769.9,769.9,769.9,0.0,182.22142857142856
2019-10-28,74.507568359375,74.70118946585268,73.96358625561002,74.14798529957753,1148600,1148.6,1148.6,1148.6,1148.6,0.0,204.20714285714283
2019-10-29,79.65238189697266,79.98430580369168,76.25938743280138,77.07997513708656,3096400,3096.4,3096.4,3096.4,3096.4,0.0,335.9928571428572
2019-10-30,79.92898559570312,80.50984890145527,79.57861757229527,80.13182875991346,1195800,1195.8,1195.8,1195.8,1195.8,0.0,444.8428571428572
2019-10-31,79.50486755371094,81.090717691095,79.40344596474696,80.04884968145136,1186900,1186.9,1186.9,1186.9,1186.9,0.0,422.7357142857144
