Date,Close NEM,High NEM,Low NEM,Open NEM,Volume NEM,Close,Open,High,Low,Volume,ATR
2023-01-30,48.77228546142578,49.56758329757826,48.6983022984099,49.16993261564633,4590700,459.07,459.07,459.07,459.07,0.0,103.425
2023-01-31,48.947998046875,48.947998046875,48.26366778986696,48.531851507323616,7919700,791.97,791.97,791.97,791.97,0.0,102.70714285714287
2023-02-01,50.11320114135742,50.649568536791776,48.59658144458835,48.78153584052129,6598200,659.82,659.82,659.82,659.82,0.0,97.91500000000003
2023-02-02,48.48561477661133,50.38138957580874,47.95849699165673,50.103959719681896,7244600,724.46,724.46,724.46,724.46,0.0,102.46714285714286
2023-02-03,46.099708557128906,47.4406235947457,45.840774504630616,47.163193748824405,9743900,974.39,974.39,974.39,974.39,0.0,117.23571428571427
2023-02-06,44.018978118896484,44.4258785067411,43.43637651801098,43.445622650593,15273600,1527.36,1527.36,1527.36,1527.36,0.0,153.20857142857145
2023-02-07,45.05472183227539,45.60958151359716,43.96349473499233,44.12995334493123,8022700,802.27,802.27,802.27,802.27,0.0,196.17857142857142
2023-02-08,44.712562561035156,45.44313063701344,44.601591311428464,45.184196545360344,5396900,539.69,539.69,539.69,539.69,0.0,205.39214285714283
2023-02-09,44.00048828125,45.8685176045149,43.72305490051832,45.304411765383364,6220500,622.05,622.05,622.05,622.05,0.0,196.40642857142853
2023-02-10,44.37039566040039,44.42588304469572,43.73230661570876,44.08371613310941,4672300,467.23,467.23,467.23,467.23,0.0,206.30071428571424
2023-02-13,44.66632080078125,44.9992380472499,43.797039623222524,44.573845355745334,5201900,520.19,520.19,520.19,520.19,0.0,208.75071428571422
2023-02-14,43.473365783691406,44.33340077389331,42.835276786453036,44.33340077389331,8593200,859.32,859.32,859.32,859.32,0.0,221.9392857142857
2023-02-15,42.81678009033203,43.18668889490163,42.493112532117486,42.752046578689125,8630900,863.09,863.09,863.09,863.09,0.0,219.2078571428571
2023-02-16,42.400630950927734,42.84452290010709,41.71630429072345,42.21568008776653,7494700,749.47,749.47,749.47,749.47,0.0,226.9192857142857
2023-02-17,42.00298309326172,42.13245364504954,41.30940672624449,41.91050765541082,8575200,857.52,857.52,857.52,857.52,0.0,226.78357142857138
2023-02-21,41.771793365478516,42.03073095618585,41.36489647681275,41.79028915965133,6856900,685.69,685.69,685.69,685.69,0.0,215.2785714285714
2023-02-22,40.90251159667969,41.64232571401779,40.73605297931462,41.6145837870276,9596600,959.66,959.66,959.66,959.66,0.0,225.40857142857138
2023-02-23,40.93025588989258,41.33715632373587,40.107212416290906,40.79154271921051,7718100,771.81,771.81,771.81,771.81,0.0,234.20928571428567
2023-02-24,40.26441955566406,40.66207027529202,39.94074847835365,40.41238236801085,7342300,734.23,734.23,734.23,734.23,0.0,219.0414285714285
2023-02-27,40.079463958740234,40.62507747438499,39.83902571876481,40.421627290605436,8277800,827.78,827.78,827.78,827.78,0.0,186.22571428571425
2023-02-28,40.329158782958984,40.810038873187295,39.774295512212994,40.00548765976244,9074800,907.48,907.48,907.48,907.48,0.0,140.12642857142853
2023-03-01,40.78229904174805,41.24468340062371,40.6158403903358,40.92101576049583,6486800,648.68,648.68,648.68,648.68,0.0,139.85642857142855
2023-03-02,40.63433074951172,40.72680972553707,40.227433838136854,40.486367915583386,5550700,555.07,555.07,555.07,555.07,0.0,140.66
2023-03-03,41.337154388427734,41.37414597662929,40.71755763304359,41.14295384193755,5671000,567.1,567.1,567.1,567.1,0.0,130.46071428571426
2023-03-06,40.89326477050781,41.55909570097128,40.70831036237999,41.14295269232358,5775400,577.54,577.54,577.54,577.54,0.0,127.4235714285714
2023-03-07,39.30266189575195,40.64357694832587,39.29341576279326,40.64357694832587,9080600,908.06,908.06,908.06,908.06,0.0,126.80857142857141
2023-03-08,39.35867691040039,39.98416058447432,39.125288170760626,39.62007115920347,6672700,667.27,667.27,667.27,667.27,0.0,143.73857142857142
2023-03-09,38.966583251953125,39.9094721378599,38.910568675681986,39.6760834119075,5196900,519.69,519.69,519.69,519.69,0.0,146.16428571428568
2023-03-10,39.35867691040039,40.628312223837426,39.23731376864344,39.73210031831583,7774300,777.43,777.43,777.43,777.43,0.0,156.85642857142852
2023-03-13,42.12199401855469,42.504751366274775,40.46960149950092,40.581630646074466,16698400,1669.84,1669.84,1669.84,1669.84,0.0,208.32642857142855
