Date,Close GOOG,High GOOG,Low GOOG,Open GOOG,Volume GOOG,Close,Open,High,Low,Volume,ATR
2016-09-12,38.189659118652344,38.252726980667774,37.44376400901771,37.49987947845845,26220000,262.2,262.2,262.2,262.2,0.0,60.40857142857143
2016-09-13,37.7263298034668,38.05061060461484,37.5331518012687,37.964200133394094,27900000,279.0,279.0,279.0,279.0,0.0,61.27714285714286
2016-09-14,37.86537551879883,38.12311035389436,37.69752545170092,37.722353258339275,21748000,217.48,217.48,217.48,217.48,0.0,63.617142857142866
2016-09-15,38.32572937011719,38.427033497894534,37.73973928399693,37.88524320063846,26102000,261.02,261.02,261.02,261.02,0.0,64.65428571428572
2016-09-16,38.18270492553711,38.225908265477585,37.97314050049215,38.225908265477585,40986000,409.86,409.86,409.86,409.86,0.0,71.86
2016-09-19,38.024784088134766,38.436964322487626,37.96226181377783,38.35849890605736,23456000,234.56,234.56,234.56,234.56,0.0,79.82285714285715
2016-09-20,38.30834197998047,38.4036901503458,38.165319724432464,38.18866233261894,19572000,195.72,195.72,195.72,195.72,0.0,78.56285714285715
2016-09-21,38.54721450805664,38.59389594265187,38.15395534197865,38.37042292449339,23356000,233.56,233.56,233.56,233.56,0.0,79.57142857142857
2016-09-22,39.092979431152344,39.224082238481486,38.657460322910715,38.734929302521124,29724000,297.24,297.24,297.24,297.24,0.0,79.49857142857145
2016-09-23,39.077579498291016,39.17838728503476,38.94101330619201,39.0621819395536,28238000,282.38,282.38,282.38,282.38,0.0,78.45142857142858
2016-09-26,38.44739532470703,38.87099874658522,38.390783524432415,38.87099874658522,30664000,306.64,306.64,306.64,306.64,0.0,74.89714285714287
2016-09-27,38.88440704345703,39.03239260749352,38.452263735936675,38.51145947705923,23064000,230.64,230.64,230.64,230.64,0.0,72.48142857142857
2016-09-28,38.8123893737793,38.82480517012669,38.48513065382125,38.628152898654264,22196000,221.96,221.96,221.96,221.96,0.0,67.72142857142858
2016-09-29,38.487125396728516,39.02295977578238,38.448491308731086,38.806439146099436,26294000,262.94,262.94,262.94,262.94,0.0,61.860000000000014
2016-09-30,38.600345611572266,38.78160793144157,38.441433244148705,38.55267531123793,31706000,317.06,317.06,317.06,317.06,0.0,57.51857142857143
2016-10-03,38.36545181274414,38.53951167486766,38.21349184343458,38.44938063592518,25576000,255.76,255.76,255.76,255.76,0.0,60.697142857142865
2016-10-04,38.55763626098633,38.67086363652972,38.3818411464527,38.537771742666976,24028000,240.28,240.28,240.28,240.28,0.0,57.40857142857143
2016-10-05,38.559627532958984,38.83772322752688,38.51890583643016,38.700660695555655,29224000,292.24,292.24,292.24,292.24,0.0,58.010000000000005
2016-10-06,38.5789909362793,38.758760475439196,38.51344143372902,38.685265923074006,21414000,214.14,214.14,214.14,214.14,0.0,52.95714285714286
