Date,Close PLTR,High PLTR,Low PLTR,Open PLTR,Volume PLTR,Close,Open,High,Low,Volume,ATR
2021-10-05,23.209999084472656,23.8799991607666,23.06999969482422,23.209999084472656,56574800,565.748,565.748,565.748,565.748,0.0,293.9176428571428
2021-10-06,23.579999923706055,25.010000228881836,23.350000381469727,24.90999984741211,125175700,1251.757,1251.757,1251.757,1251.757,0.0,299.74935714285715
2021-10-07,23.729999542236328,24.1299991607666,23.540000915527344,23.709999084472656,38873700,388.737,388.737,388.737,388.737,0.0,309.92178571428576
2021-10-08,23.5,24.09600067138672,23.110000610351562,23.860000610351562,39713400,397.134,397.134,397.134,397.134,0.0,244.35078571428568
2021-10-11,23.530000686645508,23.979999542236328,23.260000228881836,23.260000228881836,23971700,239.717,239.717,239.717,239.717,0.0,228.10921428571427
2021-10-12,23.690000534057617,23.809999465942383,23.290000915527344,23.549999237060547,26280000,262.8,262.8,262.8,262.8,0.0,225.0255
2021-10-13,24.1299991607666,24.309999465942383,23.790000915527344,23.829999923706055,28494000,284.94,284.94,284.94,284.94,0.0,215.378
2021-10-14,24.350000381469727,24.709999084472656,24.204999923706055,24.43000030517578,26106700,261.067,261.067,261.067,261.067,0.0,202.99828571428571
2021-10-15,24.0,24.520000457763672,23.829999923706055,24.5,24366100,243.661,243.661,243.661,243.661,0.0,201.53221428571428
2021-10-18,24.260000228881836,24.389999389648438,23.920000076293945,24.0,25609900,256.099,256.099,256.099,256.099,0.0,188.06107142857144
2021-10-19,24.690000534057617,25.200000762939453,24.360000610351562,24.5,29393900,293.939,293.939,293.939,293.939,0.0,177.877
2021-10-20,24.219999313354492,24.959999084472656,24.170000076293945,24.790000915527344,24248000,242.48,242.48,242.48,242.48,0.0,172.02328571428572
2021-10-21,24.780000686645508,24.93000030517578,24.079999923706055,24.1299991607666,23976600,239.766,239.766,239.766,239.766,0.0,153.12599999999998
2021-10-22,24.43000030517578,24.850000381469727,24.25,24.489999771118164,20166800,201.668,201.668,201.668,201.668,0.0,145.83892857142857
2021-10-25,25.40999984741211,25.540000915527344,24.479999542236328,24.5,33962100,339.621,339.621,339.621,339.621,0.0,148.70335714285713
2021-10-26,25.520000457763672,26.75,25.25,25.989999771118164,56767000,567.67,567.67,567.67,567.67,0.0,115.99192857142855
2021-10-27,25.059999465942383,25.899999618530273,25.020000457763672,25.639999389648438,24157200,241.572,241.572,241.572,241.572,0.0,77.64035714285713
2021-10-28,25.639999389648438,25.795000076293945,25.1200008392334,25.299999237060547,21203000,212.03,212.03,212.03,212.03,0.0,79.15071428571426
2021-10-29,25.8799991607666,26.1200008392334,25.450000762939453,25.5,21910300,219.103,219.103,219.103,219.103,0.0,68.41185714285713
2021-11-01,26.559999465942383,26.645000457763672,25.882999420166016,26.110000610351562,26684700,266.847,266.847,266.847,266.847,0.0,70.17335714285711
2021-11-02,25.920000076293945,26.719999313354492,25.55500030517578,26.559999465942383,30794600,307.946,307.946,307.946,307.946,0.0,71.5275714285714
2021-11-03,26.1200008392334,26.235000610351562,25.170000076293945,25.889999389648438,25244200,252.442,252.442,252.442,252.442,0.0,73.78692857142856
2021-11-04,26.469999313354492,26.56999969482422,25.8700008392334,26.260000228881836,25029700,250.297,250.297,250.297,250.297,0.0,72.69685714285713
2021-11-05,26.0,26.6299991607666,25.719999313354492,26.450000762939453,26005000,260.05,260.05,260.05,260.05,0.0,72.50507142857141
2021-11-08,26.75,27.110000610351562,26.1200008392334,26.25,41359600,413.596,413.596,413.596,413.596,0.0,80.7697857142857
2021-11-09,24.25,25.979999542236328,23.950000762939453,25.899999618530273,117540200,1175.402,1175.402,1175.402,1175.402,0.0,131.50885714285712
2021-11-10,22.520000457763672,23.639999389648438,22.1200008392334,23.600000381469727,94860100,948.601,948.601,948.601,948.601,0.0,147.51507142857142
2021-11-11,22.989999771118164,23.1299991607666,22.665000915527344,23.040000915527344,43381500,433.815,433.815,433.815,433.815,0.0,181.56421428571429
2021-11-12,22.829999923706055,23.225000381469727,22.3799991607666,23.020000457763672,53516200,535.162,535.162,535.162,535.162,0.0,178.9495
2021-11-15,23.40999984741211,23.520000457763672,22.950000762939453,23.0,33225700,332.257,332.257,332.257,332.257,0.0,177.15350000000004
2021-11-16,23.1299991607666,23.290000915527344,22.610000610351562,23.290000915527344,31574800,315.748,315.748,315.748,315.748,0.0,155.04000000000002
2021-11-17,22.489999771118164,23.2189998626709,22.399999618530273,23.049999237060547,27994100,279.941,279.941,279.941,279.941,0.0,155.4875
2021-11-18,21.5,22.549999237060547,21.341999053955078,22.5,51039900,510.399,510.399,510.399,510.399,0.0,171.44357142857143
2021-11-19,21.40999984741211,21.959999084472656,21.299999237060547,21.600000381469727,30013100,300.131,300.131,300.131,300.131,0.0,183.0524285714286
2021-11-22,20.649999618530273,21.56999969482422,20.18000030517578,21.530000686645508,59899100,598.991,598.991,598.991,598.991,0.0,201.4639285714286
2021-11-23,20.59000015258789,21.049999237060547,20.049999237060547,20.59000015258789,44588000,445.88,445.88,445.88,445.88,0.0,208.43585714285717
2021-11-24,21.110000610351562,21.200000762939453,20.059999465942383,20.350000381469727,35233900,352.339,352.339,352.339,352.339,0.0,214.9641428571429
2021-11-26,21.030000686645508,21.09000015258789,20.349000930786133,20.40999984741211,20691200,206.912,206.912,206.912,206.912,0.0,224.65514285714286
2021-11-29,21.06999969482422,21.399999618530273,20.559999465942383,21.190000534057617,29114000,291.14,291.14,291.14,291.14,0.0,219.70385714285717
2021-11-30,20.649999618530273,21.25,20.110000610351562,20.950000762939453,38196400,381.964,381.964,381.964,381.964,0.0,171.77657142857143
2021-12-01,19.3799991607666,20.889999389648438,19.290000915527344,20.530000686645508,48283700,482.837,482.837,482.837,482.837,0.0,162.7817142857143
2021-12-02,19.690000534057617,19.90999984741211,19.059999465942383,19.299999237060547,45802900,458.029,458.029,458.029,458.029,0.0,127.78328571428571
2021-12-03,18.979999542236328,19.530000686645508,18.399999618530273,19.5,56039600,560.396,560.396,560.396,560.396,0.0,127.85614285714284
2021-12-06,18.799999237060547,18.969999313354492,18.075000762939453,18.540000915527344,56459800,564.598,564.598,564.598,564.598,0.0,113.66307142857143
2021-12-07,19.459999084472656,19.854999542236328,19.06999969482422,19.260000228881836,35129000,351.29,351.29,351.29,351.29,0.0,127.72014285714283
2021-12-08,19.81999969482422,19.825000762939453,19.030000686645508,19.510000228881836,28425900,284.259,284.259,284.259,284.259,0.0,129.95042857142855
2021-12-09,19.209999084472656,20.149999618530273,19.040000915527344,19.950000762939453,30354700,303.547,303.547,303.547,303.547,0.0,114.86685714285711
2021-12-10,18.940000534057617,19.579999923706055,18.700000762939453,19.280000686645508,27594500,275.945,275.945,275.945,275.945,0.0,101.81928571428568
2021-12-13,18.399999618530273,19.075000762939453,18.170000076293945,18.799999237060547,38376000,383.76,383.76,383.76,383.76,0.0,88.17321428571427
2021-12-14,18.639999389648438,18.858999252319336,17.90999984741211,18.0,38864800,388.648,388.648,388.648,388.648,0.0,77.58585714285712
2021-12-15,18.860000610351562,18.940000534057617,17.9950008392334,18.3700008392334,39361900,393.619,393.619,393.619,393.619,0.0,71.25942857142856
2021-12-16,18.34000015258789,19.1200008392334,18.149999618530273,18.959999084472656,33950000,339.5,339.5,339.5,339.5,0.0,64.73742857142855
2021-12-17,19.059999465942383,19.100000381469727,17.809999465942383,18.030000686645508,44495200,444.952,444.952,444.952,444.952,0.0,66.25342857142856
2021-12-20,17.959999084472656,18.670000076293945,17.834999084472656,18.59000015258789,42265900,422.659,422.659,422.659,422.659,0.0,61.35835714285712
2021-12-21,18.899999618530273,18.979999542236328,18.100000381469727,18.15999984741211,33878600,338.786,338.786,338.786,338.786,0.0,60.144071428571415
2021-12-22,18.8799991607666,19.450000762939453,18.649999618530273,18.649999618530273,33894200,338.942,338.942,338.942,338.942,0.0,58.38321428571427
2021-12-23,18.93000030517578,19.135000228881836,18.719999313354492,18.850000381469727,24758300,247.583,247.583,247.583,247.583,0.0,57.59692857142856
2021-12-27,18.940000534057617,19.25,18.780000686645508,18.780000686645508,21782000,217.82,217.82,217.82,217.82,0.0,59.42271428571428
2021-12-28,18.56999969482422,19.06999969482422,18.440000534057617,18.889999389648438,20518800,205.188,205.188,205.188,205.188,0.0,45.088714285714275
2021-12-29,18.170000076293945,18.600000381469727,17.90999984741211,18.530000686645508,28217500,282.175,282.175,282.175,282.175,0.0,45.799857142857135
2021-12-30,18.690000534057617,18.9950008392334,18.06999969482422,18.100000381469727,29285200,292.852,292.852,292.852,292.852,0.0,45.1847857142857
2021-12-31,18.209999084472656,18.920000076293945,18.209999084472656,18.610000610351562,23556000,235.56,235.56,235.56,235.56,0.0,47.30549999999999
2022-01-03,18.530000686645508,18.569000244140625,17.860000610351562,18.360000610351562,34283600,342.836,342.836,342.836,342.836,0.0,47.26699999999999
2022-01-04,18.170000076293945,18.84000015258789,17.790000915527344,18.610000610351562,39643200,396.432,396.432,396.432,396.432,0.0,50.74614285714284
2022-01-05,16.959999084472656,18.56800079345703,16.8700008392334,18.030000686645508,58445900,584.459,584.459,584.459,584.459,0.0,63.82157142857141
2022-01-06,16.739999771118164,17.18000030517578,16.05500030517578,16.8700008392334,49737100,497.371,497.371,497.371,497.371,0.0,66.17649999999998
2022-01-07,16.559999465942383,17.329999923706055,16.475000381469727,16.700000762939453,37989300,379.893,379.893,379.893,379.893,0.0,67.03549999999997
2022-01-10,16.5,16.56999969482422,15.350000381469727,16.190000534057617,77649400,776.494,776.494,776.494,776.494,0.0,93.7717857142857
2022-01-11,16.889999389648438,17.25,16.31999969482422,16.399999618530273,47442600,474.426,474.426,474.426,474.426,0.0,109.35714285714285
2022-01-12,16.719999313354492,17.459999084472656,16.399999618530273,17.15999984741211,39784200,397.842,397.842,397.842,397.842,0.0,114.81628571428571
2022-01-13,16.010000228881836,16.81999969482422,15.9399995803833,16.799999237060547,35492200,354.922,354.922,354.922,354.922,0.0,111.35635714285714
2022-01-14,16.010000228881836,16.249000549316406,15.619999885559082,15.9399995803833,35624900,356.249,356.249,356.249,356.249,0.0,109.32521428571427
2022-01-18,14.970000267028809,15.75,14.920000076293945,15.449999809265137,49067700,490.677,490.677,490.677,490.677,0.0,118.02492857142855
2022-01-19,14.5600004196167,15.25,14.539999961853027,14.899999618530273,48049100,480.491,480.491,480.491,480.491,0.0,113.25342857142856
2022-01-20,14.619999885559082,15.550000190734863,14.569999694824219,14.890000343322754,44690400,446.904,446.904,446.904,446.904,0.0,114.88985714285711
2022-01-21,13.529999732971191,14.477999687194824,13.5,14.25,73031300,730.313,730.313,730.313,730.313,0.0,131.04107142857143
2022-01-24,13.399999618530273,13.40999984741211,11.75,12.789999961853027,110518900,1105.189,1105.189,1105.189,1105.189,0.0,150.15535714285716
2022-01-25,13.0600004196167,13.600000381469727,12.829999923706055,13.119999885559082,47456600,474.566,474.566,474.566,474.566,0.0,191.37157142857146
2022-01-26,12.75,13.819999694824219,12.680000305175781,13.600000381469727,69949700,699.497,699.497,699.497,699.497,0.0,194.00757142857142
