Date,Close NVDA,High NVDA,Low NVDA,Open NVDA,Volume NVDA,Close,Open,High,Low,Volume,ATR
2022-06-14,15.812298774719238,16.04195407771658,15.38893263459224,15.707455432559659,469680000,469.68,469.68,469.68,469.68,0.0,116.0718571428571
2022-06-15,16.50226402282715,16.84275324285454,15.902162770980876,16.070909496579183,563936000,563.936,563.936,563.936,563.936,0.0,109.04857142857138
2022-06-16,15.577649116516113,15.918139282645747,15.377948655928876,15.836261284395105,545749000,545.749,545.749,545.749,545.749,0.0,94.95885714285707
2022-06-17,15.856232643127441,15.971060294992368,15.305058771479441,15.624579525276442,630334000,630.334,630.334,630.334,630.334,0.0,82.55807142857137
2022-06-21,16.54120445251465,16.98254231536579,16.382442043197987,16.450341054941436,483089000,483.089,483.089,483.089,483.089,0.0,87.76992857142851
2022-06-22,16.335512161254883,16.637060158591623,16.155781289339874,16.20171196197555,437135000,437.135,437.135,437.135,437.135,0.0,82.51049999999994
2022-06-23,16.20071792602539,16.560177852309664,15.829273970737953,16.49427664363324,463680000,463.68,463.68,463.68,463.68,0.0,76.96785714285708
2022-06-24,17.100366592407227,17.114345577356953,16.285587932705912,16.47530408880498,472153000,472.153,472.153,472.153,472.153,0.0,74.01042857142852
2022-06-27,16.843751907348633,17.30406237753292,16.60111557126495,17.286089668284855,427968000,427.968,427.968,427.968,427.968,0.0,64.56842857142853
2022-06-28,15.958080291748047,17.17625364745246,15.921135014037446,16.874705601351724,461149000,461.149,461.149,461.149,461.149,0.0,64.54621428571423
2022-06-29,15.51873779296875,15.796321582886087,15.147294831866825,15.790330997431443,482352000,482.352,482.352,482.352,482.352,0.0,64.22771428571423
2022-06-30,15.136312484741211,15.54370183870061,14.839757062154757,15.33800982366456,686070000,686.07,686.07,686.07,686.07,0.0,76.47028571428567
2022-07-01,14.501262664794922,15.040454389186225,14.370459171454637,14.876700295756732,577610000,577.61,577.61,577.61,577.61,0.0,79.24071428571425
2022-07-05,14.94160270690918,14.948592199339451,14.033963789010635,14.153784067349683,651397000,651.397,651.397,651.397,651.397,0.0,74.58942857142854
2022-07-06,15.107353210449219,15.296070440759674,14.76686307034518,14.987532943255419,529066000,529.066,529.066,529.066,529.066,0.0,73.72214285714281
2022-07-07,15.834263801574707,15.92113347471678,15.365965930384968,15.432866034375019,492903000,492.903,492.903,492.903,492.903,0.0,69.57264285714281
2022-07-08,15.814294815063477,16.01299732041697,15.36596649650815,15.406905495536062,467972000,467.972,467.972,467.972,467.972,0.0,70.0543571428571
